pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_dens,st_rad,st_mass,st_lum,pl_class
K2-26 b,14.5665,0.0962,0.238,0.0239,2.2,0.52,0.56,-1.31,Neptune-like
K2-260 b,2.6266657,0.0404,1.552,1.42,0.5,1.69,1.39,0.543,Gas Giant
K2-261 b,11.633478,0.1034,0.85,0.188,0.38,1.64,1.09,0.328,Gas Giant
K2-263 b,50.818947,0.2573,0.215,0.04688,5.8,0.85,0.88,-0.26,Super Earth
K2-264 b,5.840002,0.05023,0.199,0.0176,2.78,0.47,0.5,-1.481,Neptune-like
K2-264 c,19.660302,0.11283,0.238,0.0239,2.2,0.47,0.5,-1.481,Neptune-like
K2-265 b,2.369172,0.03376,0.153,0.02058,7.1,0.98,0.92,-0.18,Super Earth
K2-266 b,0.658524,0.01306,0.294,0.03545,1.72,0.7,0.69,-0.823,Neptune-like
K2-266 c,7.814,0.0679,0.063,0.00091,4.55,0.7,0.69,-0.823,Terrestrial
K2-266 d,14.697,0.1035,0.261,0.028,2.03,0.7,0.69,-0.823,Neptune-like
K2-266 e,19.482,0.1249,0.244,0.04499,2.21,0.7,0.69,-0.823,Neptune-like
K2-268 b,2.151676,0.0308,0.134,0.00899,4.66,0.78,0.84,-0.471,Super Earth
K2-268 c,9.327527,0.0819,0.24,0.0242,2.17,0.78,0.84,-0.429,Neptune-like
K2-268 d,4.528598,0.050544,0.133,0.00889,4.7,0.78,0.84,-0.471,Super Earth
K2-268 e,6.131243,0.061857,0.119,0.00733,5.44,0.78,0.84,-0.471,Super Earth
K2-268 f,26.27057,0.163183,0.199,0.0176,2.77,0.78,0.84,-0.471,Neptune-like
K2-269 b,4.144965,0.0531,0.14,0.00972,4.39,1.45,1.16,0.468,Super Earth
K2-27 b,6.771315,0.06702,0.4,0.09722,1.87,0.89,0.87,-0.27,Neptune-like
K2-270 b,1.543069,0.0247,0.123,0.0078,5.19,0.77,0.85,-0.558,Super Earth
K2-270 c,4.400028,0.0497,0.263,0.0283,1.93,0.77,0.85,-0.518,Neptune-like
K2-271 b,8.562421,0.077,0.649,0.131,0.595,0.99,0.83,-0.05,Gas Giant
K2-272 b,14.4536756,0.1007,0.279,0.0313,1.78,0.83,0.86,-0.302,Neptune-like
K2-273 b,11.7195663,0.0729,0.272,0.03,1.85,0.85,0.89,-0.353,Neptune-like
K2-274 b,14.1330314,0.0964,0.186,0.0157,3.04,0.7,0.79,-0.509,Super Earth
K2-275 b,3.2809626,0.0277,0.209,0.0191,2.61,0.69,0.77,-0.593,Neptune-like
K2-275 c,8.4388385,0.0881,0.197,0.0174,2.81,0.69,0.77,-0.593,Neptune-like
K2-276 b,18.718269,0.1291,0.336,0.043,1.4,0.85,0.82,-0.405,Neptune-like
K2-277 b,6.326763,0.0675,0.185,0.0155,3.06,0.97,1.02,-0.052,Super Earth
K2-278 b,3.334966,0.0488,0.266,0.0288,1.9,1.61,1.4,0.399,Neptune-like
K2-279 b,7.122605,0.067,0.108,0.00606,5.96,0.86,0.79,-0.205,Super Earth
K2-28 b,2.260455,0.0214,0.207,0.0189,2.64,0.29,0.26,-1.94,Neptune-like
K2-280 b,19.89526,0.1461,0.669,0.11673,0.48,1.28,1.03,0.14,Neptune-like
K2-281 b,8.687721,0.0773,0.73,0.16,0.511,0.76,0.82,-0.647,Gas Giant
K2-282 b,4.169783,0.0499,0.223,0.0214,2.39,1,0.95,-0.215,Neptune-like
K2-283 b,1.921036,0.0291,0.314,0.0383,1.54,0.82,0.89,-0.524,Neptune-like
K2-284 b,4.795069,0.04771,0.248,0.0256,2.08,0.61,0.63,-1.013,Neptune-like
K2-285 b,3.471745,0.03817,0.231,0.03046,3.07,0.79,0.83,-0.422,Super Earth
K2-285 c,7.138048,0.0824,0.315,0.04933,1.95,0.79,0.83,-0.422,Neptune-like
K2-285 d,10.45582,0.1178,0.221,0.02045,2.353,0.79,0.83,-0.422,Neptune-like
K2-285 e,14.76289,0.18041,0.174,0.03367,7.931,0.79,0.83,-0.422,Neptune-like
K2-286 b,27.359,0.1768,0.187,0.0159,3,0.62,0.64,-1.046,Neptune-like
K2-287 b,14.893291,0.1206,0.847,0.315,0.643,1.07,1.06,-0.108,Gas Giant
K2-288 B b,31.393463,0.164,0.17,0.0134,3.42,0.32,0.33,-1.93,Super Earth
K2-289 b,13.156969,0.107,0.812,0.192,0.445,1.02,0.95,-0.505,Gas Giant
K2-29 b,3.2588321,0.04217,1.19,0.73,0.53,0.86,0.94,-0.295,Gas Giant
K2-290 b,9.21165,0.0923,0.273,0.0343,4.1,1.51,1.19,0.42,Super Earth
K2-290 c,48.36685,0.305,1.006,0.774,1.01,1.51,1.19,0.42,Gas Giant
K2-291 b,2.225177,0.03261,0.142,0.02042,8.84,0.9,0.93,-0.166,Super Earth
K2-292 b,16.9841,0.13,0.235,0.07709,7.4,1.09,1,0.093,Neptune-like
K2-293 b,13.1225,0.107408,0.219,0.0207,2.45,0.95,0.96,-0.18,Neptune-like
K2-294 b,2.50387,0.03596,0.148,0.0107,4.07,1.2,0.99,0.088,Super Earth
K2-295 b,4.024867,0.0451,0.897,0.335,0.612,0.7,0.74,-0.716,Gas Giant
K2-3 b,10.0546535,0.0747,0.185,0.01608,3.11,0.55,0.55,-1.231,Super Earth
K2-3 c,24.646729,0.1357,0.141,0.00843,3.7,0.55,0.55,-1.231,Super Earth
K2-3 d,44.55603,0.2014,0.13,0.00692,17.5,0.55,0.55,-1.231,Super Earth
K2-30 b,4.098503,0.04839,1.039,0.579,0.64,0.84,0.9,-0.256,Gas Giant
K2-308 b,3.38628,0.04541792,0.884,0.222,0.398,1.24,1.09,0.283,Gas Giant
