pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
TOI-2180 b,TOI-2180,1,1,260.79,0.828,11.321,1.01,875.61726,2.755,Mass,3.32,0.3683,2.71,348,89.955,,,G5,5695,1.64,1.11,0.253,0.406,4.06,8.1,0.359,116.685,9.162,7.604,9.01133,Gas Giant
TOI-2184 b,TOI-2184,1,1,6.90683,,11.4,1.017,206.58846,0.65,Mass,0.76,0.08,1429,1491,,,0.0342,,5966,2.9,1.53,0.14,0.982,3.7,2.3,0.089,788.317,12.254,10.41,11.8482,Gas Giant
TOI-2193 A b,TOI-2193 A,2,1,2.1225735,0.03319,19.84,1.77,298.7587,0.94,Mass,0.06,0,1600,1763,79.96,5.71,,,5966,1.25,1.08,0.027,0.25,4.28,5.5,0.781,337.064,11.976,10.383,11.8135,Gas Giant
TOI-2194 b,TOI-2194,1,1,15.337597,,1.989,0.177,4.61,0.0145,M-R relationship,3.22,,17,591,89.27,32.393,0.0263,,4756,0.69,0.74,-0.372,-0.69,4.7,,3.16302,19.5711,8.42,5.869,8.06594,Super Earth
TOI-2196 b,TOI-2196,1,1,1.1947268,0.02234,3.51,0.313,26,0.08181,Mass,3.31,0,2000,1860,81.11,4.61,0.0308,G V,5634,1.04,1.03,0.14,-0.004,4.42,4.5,1.25,259.947,12.297,10.346,11.8259,Neptune-like
TOI-220 b,TOI-220,1,1,10.695264,0.08911,3.03,0.27,13.8,0.04342,Mass,2.73,0.032,23.04,805,87.88,22.33,0.03235,K0 V,5298,0.86,0.83,-0.217,-0.267,4.37,10.1,1.84687,90.7402,10.466,8.542,10.1897,Neptune-like
TOI-2202 b,TOI-2202,1,2,11.9101,0.09564,11.321,1.01,310.83618,0.978,Mass,1.18,0.042,42.72,652,88.4,23.08,0.1261,K8 V,5144,0.79,0.82,0.04,-0.401,4.55,7.48,2.14284,235.933,13.004,10.8,12.7606,Gas Giant
TOI-2202 c,TOI-2202,1,2,24.6744,0.15544,13.4,1.19,117.27868,0.369,Mass,0.268,0.0622,,,84.7,,,K8 V,5144,0.79,0.82,0.04,-0.401,4.55,7.48,2.14284,235.933,13.004,10.8,12.7606,Gas Giant
TOI-2207 b,TOI-2207,1,1,8.001968,0.0854,11.153,0.995,203.41018,0.64,Mass,0.8,0.174,406,1259,88.84,11.7,,,6101,1.56,1.3,0.181,0.484,4.16,3.3,0.476,373.345,11.316,10.133,11.3545,Gas Giant
TOI-2236 b,TOI-2236,1,1,3.5315902,0.05009,14.37,1.282,502.16888,1.58,Mass,0.93,0,1356,1688,83.58,6.84,,,6248,1.57,1.34,0.119,0.533,4.17,2.52,0.486,355.59,11.6,9.96,11.2905,Gas Giant
TOI-2257 b,TOI-2257,1,1,35.189346,0.145,2.194,0.196,5.45,0.0171,M-R relationship,2.84,0.496,0.67,256,89.786,,0.06423,M3,3430,0.31,0.33,-0.27,-1.867,4.97,,15.8,57.7911,15.211,10.673,14.1615,Neptune-like
