pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
Kepler-1701 b,Kepler-1701,1,1,169.134,0.5608,2.222,0.198,5.57,0.0175,M-R relationship,2.79,0,1.31,273,89.57,151.2,0.02338,,5146,0.84,0.87,0.03,-0.351,4.53,,2.06781,584.142,14.722,12.743,14.5504,Neptune-like
Kepler-1702 b,Kepler-1702,1,1,18.5012,0.1275,1.602,0.143,3.2,0.0101,M-R relationship,4.28,0,22.4,555,88.72,44,0.01915,,5093,0.73,0.85,-0.24,-0.496,4.65,,3.135,857.14,16.231,13.959,15.7743,Super Earth
Kepler-1704 b,Kepler-1704,1,1,988.88112,2.027,11.949,1.066,1322.16617,4.16,Mass,4.07,0.92,0.34,254,89,256.4,0.0644,,5746,1.7,1.13,0.196,0.452,4.03,7.4,0.325,835.455,13.392,11.792,13.2514,Gas Giant
Kepler-1705 b,Kepler-1705,1,2,9.03502,0.08,2.03,0.181,4.47,0.01406,Mass,2.977353,0.033,91.74,789,88.79,15.21,0.01279,,6312,1.26,1.14,-0.2,0.354,4.3,2.59,0.79655,1633.49,15.8,13.735,15.4974,Neptune-like
Kepler-1705 c,Kepler-1705,1,2,11.28,,2.05,0.183,5.42,0.01705,Mass,3.528714,0.028,,,88.89,17.64,,,6312,1.26,1.14,-0.2,0.354,4.3,2.59,0.79655,1633.49,15.8,13.735,15.4974,Super Earth
Kepler-1708 b,Kepler-1708,1,1,737.1131,1.64,9.96,0.889,1462.01067,4.6,Mass,,0.4,0.56,,,317.9,0.0818,,6157,1.12,1.09,0,0.182,4.37,3.16,1.1,1666.69,15.823,14.089,15.6837,Gas Giant
Kepler-1709 b,Kepler-1709,1,1,65.70459747,0.3192,3.124,0.279,9.93,0.0312,M-R relationship,1.79,0,10.02,472,89.68,55,0.02914,,5918,1.04,1,-0.04,0.115,4.4,2.2,7.27164,273.946,11.642,10.3,11.6176,Neptune-like
Kepler-171 b,Kepler-171,1,3,4.166972,0.05,2.34,0.209,6.08,0.0191,M-R relationship,2.61,0,304.18,1053,89.89,11.973,0.02662,,5642,0.84,0.91,0.11,-0.079,4.57,3.47,1.82708,863.855,15.101,13.206,14.9053,Neptune-like
Kepler-171 c,Kepler-171,1,3,11.463462,0.098,2.56,0.228,7.08,0.0223,M-R relationship,2.32,0,78.91,752,89.83,34.51,0.02905,,5642,0.84,0.91,0.11,-0.079,4.57,3.47,6.28804,863.855,15.101,13.206,14.9053,Neptune-like
Kepler-171 d,Kepler-171,1,3,39.595519,0.223,1.89,0.169,4.23,0.0133,M-R relationship,3.44,0,15.1,497,89.8,47.01,0.02032,,5642,0.84,0.91,0.11,-0.079,4.57,3.47,0.65169,863.855,15.101,13.206,14.9053,Super Earth
Kepler-1710 b,Kepler-1710,1,1,14.91110039,0.1159,3.197,0.285,10.3,0.0325,M-R relationship,1.73,0,49.29,694,89.98,35.174,0.02664,,5650,0.9,0.93,-0.04,-0.143,4.5,9.1,3.70254,305.193,12.695,11.047,12.5606,Neptune-like
Kepler-1711 b,Kepler-1711,1,1,21.06080055,0.1463,1.923,0.172,4.36,0.0137,M-R relationship,3.37,0,47.39,669,89.67,30.68,0.01588,,5706,1.03,0.94,0,0.01,4.38,6.6,1.23168,590.268,13.298,11.643,13.1844,Super Earth
Kepler-1712 b,Kepler-1712,1,1,13.81499958,0.0903,2.284,0.204,5.83,0.0184,M-R relationship,2.69,0,5.52,391,88.06,22.7,0.0344,,3732,0.51,0.52,0.02,-1.179,4.74,13.8,1.66032,156.264,14.946,11.124,14.1997,Neptune-like
Kepler-1713 b,Kepler-1713,1,1,18.01160049,0.1469,1.717,0.153,3.59,0.0113,M-R relationship,3.9,0,150.48,900,83.74,12.73,0.01074,,6477,1.46,1.3,0.1,0.486,4.22,1.45,0.03546,295.293,11.065,9.754,10.8652,Super Earth
Kepler-1714 b,Kepler-1714,1,1,10.27530003,0.1047,3.264,0.291,10.7,0.0337,M-R relationship,1.69,0,522.13,1211,88.49,8.46,0.01463,,6150,2.09,1.45,0.22,0.76,3.96,3.05,0.30955,409.46,11.041,9.705,10.9663,Neptune-like
Kepler-1715 b,Kepler-1715,1,1,35.59730148,0.2178,4.14,0.369,16,0.0504,M-R relationship,1.24,0,33.49,646,87.51,20.6,0.02393,,6212,1.21,1.08,-0.04,0.417,4.31,0.82,0.13057,522.605,12.881,11.041,12.3012,Neptune-like
Kepler-1716 b,Kepler-1716,1,1,35.58100128,0.1916,2.425,0.216,6.46,0.0203,M-R relationship,2.49,0,6.22,408,90,70.008,0.02716,,4894,0.68,0.75,-0.24,-0.624,4.64,7.9,5.12631,195.439,13.129,10.813,12.9403,Neptune-like
Kepler-1717 b,Kepler-1717,1,1,30.65279961,0.2014,2.989,0.267,9.21,0.029,M-R relationship,1.89,0,87.69,780,88.89,32.3,0.01585,,6200,1.64,1.16,-0.06,0.593,4.07,0.33,0.88951,1008.79,13.323,12.228,13.3,Neptune-like
Kepler-1718 b,Kepler-1718,1,1,135.1880035,0.4878,2.569,0.229,7.12,0.0224,M-R relationship,2.31,0,3.33,345,89.99,119.823,0.02345,,5731,0.91,0.85,-0.32,-0.04,4.45,10.4,1.78074,375.522,12.821,11.316,12.735,Neptune-like
Kepler-1719 b,Kepler-1719,1,1,6.14955998,0.0674,3.95,0.352,14.8,0.0465,M-R relationship,1.32,0,649.26,1287,87.37,8.02,0.01746,,5687,1.78,1.08,0.04,0.526,3.97,7.7,0.25822,905.406,13.478,11.776,13.3258,Neptune-like
Kepler-172 b,Kepler-172,1,4,2.940309,0.04,2.35,0.21,6.12,0.0193,M-R relationship,2.59,0,639.48,1256,80.64,8.9839,0.02012,,5526,1.08,1,0.23,-0.032,4.38,6.46,1.58662,828.592,14.703,12.793,14.5369,Neptune-like
Kepler-172 c,Kepler-172,1,4,6.388996,0.068,2.86,0.255,8.55,0.0269,M-R relationship,2.01,0,227.22,970,83.26,15.11,0.02141,,5526,1.08,1,0.23,-0.032,4.38,6.46,1.59738,828.592,14.703,12.793,14.5369,Neptune-like
Kepler-172 d,Kepler-172,1,4,14.627119,0.118,2.25,0.201,5.69,0.0179,M-R relationship,2.74,0,75.29,736,84.97,17.1,0.02014,,5526,1.08,1,0.23,-0.032,4.38,6.46,1.98664,828.592,14.703,12.793,14.5369,Neptune-like
Kepler-172 e,Kepler-172,1,4,35.118736,0.211,2.76,0.246,8.05,0.0253,M-R relationship,2.1,0,23.43,550,87.49,76.32,0.02195,,5526,1.08,1,0.23,-0.032,4.38,6.46,6.81939,828.592,14.703,12.793,14.5369,Neptune-like
Kepler-1720 b,Kepler-1720,1,1,12.70639992,0.1043,3.216,0.287,10.4,0.0328,M-R relationship,1.72,0,55.86,697,88.29,11.5,0.0365,,5573,0.84,0.94,-0.04,-0.336,4.56,0.5,2.21624,629.445,14.822,12.891,14.6634,Neptune-like
Kepler-1721 b,Kepler-1721,1,1,4.59238005,0.0519,3.119,0.278,9.9,0.0312,M-R relationship,1.79,0,172.6,924,89.93,15.8754,0.02882,,5351,0.8,0.89,-0.04,-0.407,4.58,0.7,3.58883,641.374,15.085,13.016,14.8762,Neptune-like
Kepler-1722 b,Kepler-1722,1,1,9.17856979,0.0819,2.867,0.256,8.58,0.027,M-R relationship,2,0,76.14,753,88.77,31.96,0.02682,,5506,0.79,0.88,-0.2,-0.17,4.58,1.4,4.44025,772.283,14.997,13.078,14.8579,Neptune-like
Kepler-1723 b,Kepler-1723,1,1,39.75289917,0.2249,2.88,0.257,8.65,0.0272,M-R relationship,1.99,0,24.54,568,89.96,62.43,0.02148,,6072,1.01,0.96,-0.3,0.034,4.41,3.3,2.91278,811.278,14.383,12.849,14.2875,Neptune-like
Kepler-1724 b,Kepler-1724,1,1,6.45442009,0.0683,2.837,0.253,8.43,0.0265,M-R relationship,2.03,0,234.98,999,86.67,9.6,0.0238,,6092,0.94,1.02,-0.22,0.055,4.5,0.3,0.97267,1060.77,14.961,13.334,14.8169,Neptune-like
Kepler-1725 b,Kepler-1725,1,1,16.71990013,0.1302,2.813,0.251,8.31,0.0261,M-R relationship,2.05,0,74.26,767,89.3,39.585,0.02106,,6020,1.08,1.05,0,0.199,4.39,0.89,3.04198,558.652,13.153,11.751,13.0267,Neptune-like
Kepler-1726 b,Kepler-1726,1,1,18.39629936,0.1306,2.509,0.224,6.84,0.0215,M-R relationship,2.38,0,27.09,582,88.18,23.7,0.02528,,5316,0.8,0.88,0,-0.37,4.57,10.9,1.16411,390.552,13.851,11.966,13.6766,Neptune-like
Kepler-1727 b,Kepler-1727,1,1,9.02929974,0.0796,3.173,0.283,10.2,0.0321,M-R relationship,1.75,0,77.75,757,89.94,22.69,0.03035,,5349,0.82,0.82,-0.12,-0.251,4.53,9.7,2.66613,894.187,15.751,13.429,15.3759,Neptune-like
Kepler-1728 b,Kepler-1728,1,1,4.78299999,0.0535,2.955,0.264,9.04,0.0284,M-R relationship,1.93,0,145.48,886,89.99,16.102,0.02831,,5170,0.81,0.89,0.18,-0.416,4.57,12.8,3.45234,651.783,15.279,13.203,15.084,Neptune-like
Kepler-1729 b,Kepler-1729,1,1,4.22097015,0.0418,3.894,0.347,14.4,0.0454,M-R relationship,1.34,0,29.68,595,85.03,8.13,0.0454,,3837,0.52,0.54,-0.06,-0.663,4.75,1.2,0.5702,576.181,15.676,13.102,15.6458,Neptune-like
Kepler-173 b,Kepler-173,1,2,4.263742,0.048,1.29,0.115,2.21,0.00696,M-R relationship,5.66,0,599.5,1179,88.44,10.7,0.01256,,6031,0.95,0.79,0.036,0.074,4.4,3.3,2.66952,833.165,14.357,12.668,14.2578,Super Earth
Kepler-173 c,Kepler-173,1,2,8.005777,0.074,2.43,0.217,6.48,0.0204,M-R relationship,2.48,0,258.42,956,89.74,20.02,0.02361,,6031,0.95,0.79,0.036,0.074,4.4,3.3,2.36963,833.165,14.357,12.668,14.2578,Neptune-like
Kepler-1730 b,Kepler-1730,1,1,13.81019974,0.1131,4.485,0.4,18.4,0.0577,M-R relationship,1.12,0,113.75,833,88.04,23.2,0.03659,,5942,1.14,1.01,-0.04,0.075,4.33,7.4,1.23716,1427.08,15.478,13.849,15.3758,Neptune-like
Kepler-1731 b,Kepler-1731,1,1,21.76129913,0.1401,2.933,0.262,8.92,0.0281,M-R relationship,1.94,0,13.18,486,89.95,137.07,0.03216,,4859,0.72,0.78,0,-0.6,4.61,13.9,102.86534,169.948,12.742,10.41,12.4974,Neptune-like
Kepler-1732 b,Kepler-1732,1,1,32.31240082,0.2015,4.099,0.366,15.7,0.0496,M-R relationship,1.25,0,27.05,699,86.72,18.7,0.02917,,5821,1.49,1.04,0.04,0.296,4.11,2,0.07872,1289.41,14.884,13.205,14.7163,Neptune-like
Kepler-1733 b,Kepler-1733,1,1,9.22957993,0.0933,3.636,0.324,12.8,0.0404,M-R relationship,1.46,0,257.11,1021,89.88,32.12,0.02037,,6320,1.25,1.27,0.24,0.43,4.35,0.2,7.35865,2080.51,15.612,13.981,15.357,Neptune-like
Kepler-1734 b,Kepler-1734,1,1,6.7968502,0.0714,3.089,0.276,9.74,0.0306,M-R relationship,1.82,0,222.91,985,87.32,6.72,0.02231,,6061,0.97,1.05,-0.1,0.144,4.49,0.3,0.95531,1482.83,15.598,13.884,15.3171,Neptune-like
Kepler-1735 b,Kepler-1735,1,1,7.71792984,0.0621,1.194,0.107,1.84,0.00578,M-R relationship,5.94,0,15.01,502,89.8,32.37,0.01627,,3975,0.51,0.54,-0.34,-1.193,4.75,14,10.76832,245.303,15.896,12.247,15.2237,Super Earth
Kepler-1736 b,Kepler-1736,1,1,37.81029892,0.2188,3.877,0.346,14.3,0.0451,M-R relationship,1.35,0,24.27,566,89.9,33.74,0.02189,,6085,0.97,0.98,-0.28,0.402,4.45,1.7,0.50837,1430,14.808,13.073,14.6161,Neptune-like
Kepler-1737 b,Kepler-1737,1,1,64.61750031,0.297,5.395,0.481,25.1,0.079,M-R relationship,0.878,0,5.09,383,88.9,47,0.05612,,5043,0.88,0.83,0.3,-0.344,4.47,13.7,0.47169,,15.498,13.18,15.3741,Neptune-like
Kepler-1738 b,Kepler-1738,1,1,7.67463016,0.0781,2.825,0.252,8.37,0.0263,M-R relationship,2.04,0,198.67,957,85.69,12.5,0.02132,,6063,1,1.08,-0.02,-0.005,4.47,0.3,0.62777,1302.87,15.649,13.851,15.4178,Neptune-like
Kepler-1739 b,Kepler-1739,1,1,7.34370995,0.0697,2.431,0.217,6.48,0.0204,M-R relationship,2.48,0,117.5,839,89.78,50.03,0.02207,,5757,0.76,0.86,-0.5,-0.14,4.6,0.4,38.44106,783.666,14.899,13.024,14.6422,Neptune-like
Kepler-174 b,Kepler-174,1,3,13.98179,0.1,1.96,0.175,4.5,0.0142,M-R relationship,3.28,0,24.42,553,89.24,37.15,0.02893,,4880,0.62,0.6,-0.44,-0.57,4.68,4.9,4.9616,384.757,14.53,12.184,14.2858,Super Earth
Kepler-174 c,Kepler-174,1,3,44.000529,0.214,1.49,0.133,2.83,0.00889,M-R relationship,4.7,0,5.3,377,89.97,66.49,0.02192,,4880,0.62,0.6,-0.44,-0.57,4.68,4.9,2.8723,384.757,14.53,12.184,14.2858,Super Earth
Kepler-174 d,Kepler-174,1,3,247.35373,0.677,2.19,0.195,5.43,0.0171,M-R relationship,2.84,0,0.53,212,89.99,224.6,0.03238,,4880,0.62,0.6,-0.44,-0.57,4.68,4.9,3.3395,384.757,14.53,12.184,14.2858,Neptune-like
Kepler-1740 b,Kepler-1740,1,1,8.17240047,0.0779,3.323,0.296,11,0.0347,M-R relationship,1.65,0,127.95,858,82.8,6.96,0.0337,,5705,0.91,0.94,-0.06,-0.079,4.5,,0.11427,1061.77,15.454,13.695,15.2863,Neptune-like
Kepler-1741 b,Kepler-1741,1,1,2.75759006,0.0296,1.273,0.114,2.16,0.00681,M-R relationship,5.75,0,33.79,615,89.77,19.57,0.0219,,3683,0.42,0.45,-0.22,-1.242,4.84,13.4,30.83073,270.739,16.154,12.611,15.6903,Super Earth
Kepler-1742 b,Kepler-1742,1,1,49.47819901,0.2587,2.178,0.194,5.38,0.0169,M-R relationship,2.86,0,10.73,462,89.98,154.5,0.0203,,5776,0.85,0.94,-0.18,-0.184,4.55,0.5,28.51104,669.573,14.512,12.831,14.3735,Neptune-like
Kepler-1743 b,Kepler-1743,1,1,7.64971018,0.0822,1.599,0.143,3.18,0.01,M-R relationship,4.28,0,404.99,1144,77.52,7.55,0.00731,,5855,1.61,1.27,0.4,0.599,4.12,5.1,0.02318,538.807,12.062,10.562,11.9354,Super Earth
Kepler-1744 b,Kepler-1744,1,1,37.10110092,0.2093,3.768,0.336,13.6,0.0429,M-R relationship,1.4,0,18.95,532,89.52,43.8,0.03435,,5986,0.85,0.89,-0.5,-0.098,4.53,,1.56368,1091.63,15.566,13.532,15.2558,Neptune-like
Kepler-1745 b,Kepler-1745,1,1,3.01619005,0.0408,1.929,0.172,4.38,0.0138,M-R relationship,3.35,0,1044.49,1449,82.72,8.69,0.01382,,5611,1.4,0.99,0.16,0.007,4.14,2.1,0.40067,996.105,14.854,13.323,14.8649,Super Earth
Kepler-1746 b,Kepler-1746,1,1,321.2120056,0.9453,8.935,0.797,59.1,0.186,M-R relationship,0.455,0,2.17,310,89.86,377,0.05143,,6018,1.29,1.09,0.06,0.496,4.26,,8.48974,979.541,13.572,12.232,13.4903,Gas Giant
Kepler-1747 b,Kepler-1747,1,1,6.23031998,0.066,4.265,0.381,16.8,0.053,M-R relationship,1.19,0,138.33,875,87.55,30.75,0.04349,,5477,0.86,0.98,0.21,-0.205,4.56,0.7,3.27897,1321.38,16.1966,14.036,15.9687,Neptune-like
Kepler-1748 b,Kepler-1748,1,1,5.82352018,0.0615,2.713,0.242,7.81,0.0246,M-R relationship,2.15,0,196.33,955,85.35,7.8,0.02872,,5774,0.86,0.92,-0.22,-0.35,4.53,,0.70474,1083.28,16.004,14.187,15.8529,Neptune-like
Kepler-1749 b,Kepler-1749,1,1,14.53409958,0.0956,1.613,0.144,3.23,0.0102,M-R relationship,4.23,0,7.34,420,88.07,31.6,0.0211,,3957,0.55,0.55,-0.16,-0.95,4.69,13.9,1.05199,268.2,14.95,11.809,14.6958,Super Earth
Kepler-175 b,Kepler-175,1,2,11.903515,0.105,2.56,0.228,7.08,0.0223,M-R relationship,2.32,0,129.64,827,88.78,17.8,0.02341,,6064,1.01,1.12,0.1,0.194,4.47,3.39,1.02936,1312.34,15.225,13.496,14.9115,Neptune-like
Kepler-175 c,Kepler-175,1,2,34.035257,0.213,3.1,0.277,9.8,0.0308,M-R relationship,1.81,0,31.95,583,89.23,20.7,0.02525,,6064,1.01,1.12,0.1,0.194,4.47,3.39,0.71902,1312.34,15.225,13.496,14.9115,Neptune-like
Kepler-1750 b,Kepler-1750,1,1,205.9120026,0.6785,6.004,0.536,30.1,0.0947,M-R relationship,0.764,0,1.85,298,89.93,161.5,0.04419,,5644,0.97,0.98,0.14,0.061,4.46,0.5,1.8788,1497.33,15.702,13.903,15.5339,Neptune-like
Kepler-1751 b,Kepler-1751,1,1,7.01731014,0.0712,1.824,0.163,3.98,0.0125,M-R relationship,3.6,0,221.46,984,87.34,12.53,0.01521,,6052,0.97,0.97,-0.26,0.036,4.46,1.9,0.75604,1291.47,15.455,13.784,15.232,Super Earth
Kepler-1752 b,Kepler-1752,1,1,56.35850143,0.2698,4.541,0.405,18.7,0.059,M-R relationship,1.1,0,7.29,419,88.46,33.7,0.0562,,5446,0.82,0.82,-0.2,-0.398,4.53,7.2,0.22873,962.888,16.0249,13.999,15.796,Neptune-like
Kepler-1753 b,Kepler-1753,1,1,16.00460052,0.1179,2.227,0.199,5.59,0.0176,M-R relationship,2.78,0,27.41,583,89,31.9,0.02558,,5180,0.77,0.86,0,-0.56,4.6,6.2,1.61437,707.688,15.59,13.521,15.5134,Neptune-like
Kepler-1754 b,Kepler-1754,1,1,8.19594955,0.0718,2.44,0.218,6.53,0.0205,M-R relationship,2.47,0,48.2,672,89.34,22.04,0.02505,,4723,0.75,0.73,0.08,-0.612,4.56,,3.01443,718.945,16.007,13.438,15.8578,Neptune-like
Kepler-1755 b,Kepler-1755,1,1,24.81209946,0.1668,5.917,0.528,29.4,0.0924,M-R relationship,0.78,0,37.43,631,89.96,61.21,0.04199,,6086,0.92,1,-0.26,0.274,4.51,0.3,7.04712,982.383,14.544,12.911,14.3856,Neptune-like
Kepler-1756 b,Kepler-1756,1,1,2.35575008,0.0319,1.472,0.131,2.77,0.00871,M-R relationship,4.77,0,338.4,1093,86.77,10.21,0.01511,,4915,0.81,0.78,0.16,-0.459,4.51,13.7,2.3873,,15.736,13.452,15.6634,Super Earth
Kepler-1757 b,Kepler-1757,1,1,19.65640068,0.1335,2.947,0.263,8.99,0.0283,M-R relationship,1.93,0,21.5,549,87.07,17.6,0.03159,,5288,0.74,0.83,-0.24,-0.369,4.61,0.7,0.31828,807.308,15.817,13.543,15.3679,Neptune-like
Kepler-1758 b,Kepler-1758,1,1,9.97721005,0.0919,2.571,0.229,7.13,0.0224,M-R relationship,2.31,0,93.64,1028,89.99,7.8,0.01433,,5557,1.62,1.04,0.16,0.485,4.04,0.4,0.42718,1588.41,15.119,13.302,14.9449,Neptune-like
Kepler-1759 b,Kepler-1759,1,1,3.7202301,0.0429,0.904,0.081,0.676,0.00213,M-R relationship,5.03,0,195.7,954,88.63,14.75,0.01184,,5017,0.8,0.76,-0.02,-0.563,4.52,13.8,4.00992,385.348,14.532,12.159,14.2601,Terrestrial
Kepler-176 b,Kepler-176,1,4,5.433074,0.058,1.43,0.128,2.63,0.00829,M-R relationship,4.94,0,123.8,841,86.69,17.72,0.01476,,5232,0.89,0.79,0.16,-0.404,4.47,13.7,3.56337,527.321,14.767,12.567,14.5446,Super Earth
Kepler-176 c,Kepler-176,1,4,12.759712,0.102,2.6,0.232,23,0.072,Mass,7.19,0,39.63,633,88.25,27.65,0.0276,,5232,0.89,0.79,0.16,-0.404,4.47,13.7,2.45566,527.321,14.767,12.567,14.5446,Neptune-like
Kepler-176 d,Kepler-176,1,4,25.751974,0.163,2.51,0.224,15.2,0.048,Mass,5.28,0,15.54,501,89.53,34,0.03027,,5232,0.89,0.79,0.16,-0.404,4.47,13.7,7.12817,527.321,14.767,12.567,14.5446,Super Earth
Kepler-176 e,Kepler-176,1,4,51.16579,0.2494,1.45,0.129,2.7,0.00849,M-R relationship,4.87,0,6.22,398,89.08,51.1,0.01605,,5295,0.83,0.87,0.03,-0.404,4.55,4.68,3.09428,527.321,14.767,12.567,14.5446,Super Earth
Kepler-1760 b,Kepler-1760,1,1,38.3260994,0.2084,2.29,0.204,5.86,0.0184,M-R relationship,2.68,0,12.56,480,88.34,33.3,0.02464,,5229,0.9,0.82,0.08,-0.26,4.44,0.6,0.47745,,14.472,12.537,14.3017,Neptune-like
Kepler-1761 b,Kepler-1761,1,1,4.04354,0.0413,1.391,0.124,2.51,0.00791,M-R relationship,5.12,0,33.34,613,78.42,4.9,0.01762,,3871,0.53,0.57,0.07,-1.17,4.74,13.9,0.13614,221.186,15.619,11.791,14.898,Super Earth
Kepler-1762 b,Kepler-1762,1,1,29.53910065,0.204,2.76,0.246,8.05,0.0253,M-R relationship,2.1,0,61.49,714,89.78,54.94,0.01859,,6572,1.24,1.3,0.07,0.331,4.37,0.28,3.47173,1663.74,15.239,13.874,15.083,Neptune-like
Kepler-1763 b,Kepler-1763,1,1,1.48028004,0.0257,1.147,0.102,1.59,0.00499,M-R relationship,5.8,0,2597.27,1822,89.28,4.612,0.00713,,5897,1.26,1.03,0.02,0.274,4.25,5.4,0.84673,756.486,13.634,12.134,13.5105,Super Earth
Kepler-1764 b,Kepler-1764,1,1,70.46829987,0.3512,4.555,0.406,18.8,0.0593,M-R relationship,1.09,0,16.17,511,89.98,83.15,0.02859,,6461,1.13,1.16,-0.14,0.415,4.4,0.24,2.18989,1542.48,14.91,13.449,14.7454,Neptune-like
Kepler-1765 b,Kepler-1765,1,1,10.41889954,0.0917,2.495,0.223,6.78,0.0213,M-R relationship,2.4,0,126.48,855,86.74,28.88,0.02426,,5692,1.06,0.95,0.04,-0.136,4.36,11.9,0.59531,764.456,15.04,13.127,14.8213,Neptune-like
Kepler-1766 b,Kepler-1766,1,1,105.0149994,0.4229,2.279,0.203,5.81,0.0183,M-R relationship,2.7,0,6.44,406,88.6,39.2,0.01619,,5868,1.04,0.92,-0.22,0.175,4.36,7.3,0.10302,501.229,12.96,11.475,12.8705,Neptune-like
Kepler-1767 b,Kepler-1767,1,1,59.65829849,0.2873,3.013,0.269,9.34,0.0294,M-R relationship,1.88,0,5.66,393,88.38,33.8,0.03825,,5243,0.83,0.89,0.14,-0.503,4.55,0.6,0.20596,820.506,16.206,13.792,15.7151,Neptune-like
Kepler-1768 b,Kepler-1768,1,1,15.13589954,0.1286,2.233,0.199,5.62,0.0177,M-R relationship,2.77,0,179.16,933,89.44,53.65,0.0149,,6050,1.57,1.24,0.14,0.287,4.14,,8.46929,632.766,13.565,11.932,13.4376,Neptune-like
Kepler-1769 b,Kepler-1769,1,1,89.1934967,0.3987,4.465,0.398,18.2,0.0573,M-R relationship,1.12,0,12.83,483,89.99,174.5,0.02715,,6071,1.3,1.06,-0.06,0.215,4.24,2.67,12.62813,438.412,12.487,11.264,12.445,Neptune-like
Kepler-177 b,Kepler-177,1,2,36.8601,0.2184,3.5,0.312,5.84,0.01837,Mass,0.75,0,30.4,549,89.93,38.43,0.02499,,5732,1.32,0.92,-0.11,0.24,4.1,1.8,0.7906,1435.44,15.171,13.421,14.9414,Neptune-like
Kepler-177 c,Kepler-177,1,2,49.40926,0.2655,8.73,0.779,14.7,0.04625,Mass,0.121,0,25.4,497,88.795,42.08,0.06036,,5732,1.32,0.92,-0.11,0.24,4.1,1.8,0.56415,1435.44,15.171,13.421,14.9414,Neptune-like
Kepler-1770 b,Kepler-1770,1,1,16.84189987,0.1261,2.841,0.253,8.45,0.0266,M-R relationship,2.02,0,56.43,699,88.95,51.13,0.02539,,5602,1.01,0.94,0.1,-0.209,4.4,12.3,3.51751,582.942,14.418,12.577,14.2972,Neptune-like
Kepler-1771 b,Kepler-1771,1,1,88.64399719,0.3815,4.055,0.362,15.5,0.0487,M-R relationship,1.28,0,5.51,391,89.34,44,0.02784,,5661,0.93,0.94,0,-0.092,4.47,0.8,0.59555,565.752,13.802,12.152,13.7005,Neptune-like
Kepler-1772 b,Kepler-1772,1,1,3.21509004,0.0418,2.686,0.24,7.68,0.0242,M-R relationship,2.18,0,421.21,1155,63.99,6.382,0.01149,,5541,0.93,0.94,0.12,0.472,4.47,5.1,0.01886,871.564,13.546,11.75,13.3948,Neptune-like
Kepler-1773 b,Kepler-1773,1,1,40.80970001,0.2489,3.505,0.313,12.1,0.038,M-R relationship,1.54,0,31.05,623,88.57,116.88,0.01928,,6183,1.3,1.24,0.26,0.405,4.3,2.91,0.63026,681.255,13.085,11.692,12.9455,Neptune-like
Kepler-1774 b,Kepler-1774,1,1,59.77080154,0.3096,3.182,0.284,10.2,0.0322,M-R relationship,1.74,0,17.53,522,88.9,46.6,0.02354,,6214,1.12,1.1,-0.02,0.19,4.38,2.5,0.53689,816.592,14.02,12.505,13.8899,Neptune-like
Kepler-1775 b,Kepler-1775,1,1,85.65399933,0.3986,3.648,0.325,12.9,0.0406,M-R relationship,1.46,0,8.08,522,89.99,97.18,0.02024,,5818,1.65,1.15,0.24,0.246,4.07,0.4,2.3666,657.023,13.429,12.005,13.2765,Neptune-like
Kepler-1776 b,Kepler-1776,1,1,35.01190186,0.2124,2.612,0.233,7.33,0.023,M-R relationship,2.26,0,31.35,603,88.69,40.5,0.01987,,5872,1.15,1.04,0.1,0.164,4.33,0.6,1.02226,690.336,13.68,12.259,13.5571,Neptune-like
Kepler-1777 b,Kepler-1777,1,1,12.18420029,0.1031,2.132,0.19,5.19,0.0163,M-R relationship,2.94,0,106.52,819,88.36,8.7,0.02115,,5771,1.07,0.98,0.06,-0.033,4.37,3.1,2.24035,619.146,14.112,12.528,13.9541,Neptune-like
Kepler-1778 b,Kepler-1778,1,1,10.08740044,0.0956,3.017,0.269,9.36,0.0294,M-R relationship,1.87,0,186.14,942,85.49,7,0.02635,,6310,1.09,1.14,-0.06,0.098,4.42,0.3,0.29911,1276.29,15.273,13.731,15.0421,Neptune-like
Kepler-1779 b,Kepler-1779,1,1,16.34359932,0.1264,3.033,0.271,9.44,0.0297,M-R relationship,1.86,0,67.34,730,87.56,24,0.0257,,5730,1.06,1.01,0.16,-0.05,4.39,0.6,0.33885,908.501,15.132,13.251,14.9927,Neptune-like
Kepler-178 b,Kepler-178,1,3,9.576694,0.085,2.9,0.259,8.75,0.0275,M-R relationship,1.97,0,84.57,846,89.89,22.293,0.02488,,5676,1.07,0.94,0.18,-0.208,4.33,11.3,2.32199,716.025,14.876,12.899,14.5782,Neptune-like
Kepler-178 c,Kepler-178,1,3,20.552802,0.142,2.88,0.257,8.65,0.0272,M-R relationship,1.99,0,30.55,656,89.47,33,0.0296,,5676,1.07,0.94,0.18,-0.208,4.33,11.3,10.59769,716.025,14.876,12.899,14.5782,Neptune-like
Kepler-178 d,Kepler-178,1,3,96.678988,0.397,3.95,0.352,14.8,0.0465,M-R relationship,1.32,0,3.87,392,89.85,126,0.02804,,5676,1.07,0.94,0.18,-0.208,4.33,11.3,4.04888,716.025,14.876,12.899,14.5782,Neptune-like
